id,name,created_at
1,Благотворительная акция,2025-11-15T11:30:48.686161
2,Волонтерское дежурство,2025-11-15T11:30:48.686161
3,Образовательный семинар,2025-11-15T11:30:48.686161
4,Экологический субботник,2025-11-15T11:30:48.686161
5,Благоустройство,2025-11-15T11:30:48.686161
6,Конкурс и выставка,2025-11-15T11:30:48.686161
7,Концерт и развлечение,2025-11-15T11:30:48.686161
8,Собрание и встреча,2025-11-15T11:30:48.686161
9,Прогулка и экскурсия,2025-11-15T11:30:48.686161
10,Медицинский осмотр,2025-11-15T11:30:48.686161
